,Genename,Counts,Sample
505,MCM6,1019.6594,Moderate 4
506,DPAGT1,776.41504,Moderate 4
507,C22orf46,361.55234,Moderate 4
508,CD47,9800.545,Moderate 4
509,TTC30A,33.961174,Moderate 4
510,FBL,3764.9912,Moderate 4
511,POLR1D,7997.376,Moderate 4
512,RSBN1,3235.42,Moderate 4
513,SOD2,36106.637,Moderate 4
514,FCGR3B,23573.14,Moderate 4
515,ZNF23,193.5918,Moderate 4
516,IQCH-AS1,164.7377,Moderate 4
517,UBR5,1655.4084,Moderate 4
518,SLTM,4841.1543,Moderate 4
519,PLEKHG1,502.96045,Moderate 4
520,RBM10,1646.1156,Moderate 4
521,CLEC12A,3489.6726,Moderate 4
522,HCG18,1487.7732,Moderate 4
523,EBAG9,1742.241,Moderate 4
524,MARCH5,1756.1517,Moderate 4
525,THYN1,2342.9502,Moderate 4
526,KCTD21,89.67842,Moderate 4
527,MPI,1006.1953,Moderate 4
528,C12orf29,795.236,Moderate 4
529,CUL9,277.72186,Moderate 4
530,PDZD2,12.506043,Moderate 4
531,COL2A1,0.0,Moderate 4
532,PLEKHG3,517.13074,Moderate 4
533,MATN1,22.419228,Moderate 4
534,MINOS1,3956.393,Moderate 4
535,P4HTM,992.6282,Moderate 4
536,SPDL1,137.99506,Moderate 4
537,ATF2,1165.2527,Moderate 4
538,SH3BP2,1723.0929,Moderate 4
539,SS18L2,2817.2207,Moderate 4
540,AFTPH,2256.3752,Moderate 4
541,G3BP2,5158.528,Moderate 4
542,RASGRP2,12218.28,Moderate 4
543,CD63,9070.764,Moderate 4
544,PRKCH,3878.3765,Moderate 4
545,MTRNR2L12,38.89445,Moderate 4
546,MAPKAPK3,1977.727,Moderate 4
547,SOBP,143.36484,Moderate 4
548,PLCE1,48.055893,Moderate 4
549,ANKRD11,3094.5142,Moderate 4
550,RTN4,9954.83,Moderate 4
551,IGLC3,1593.3958,Moderate 4
552,HDAC9,800.0856,Moderate 4
553,PPP1CB,2421.5535,Moderate 4
554,FAM49B,9744.038,Moderate 4
555,STARD4,221.87964,Moderate 4
556,GAK,1333.478,Moderate 4
557,PREB,1486.8865,Moderate 4
558,CAP1,25346.66,Moderate 4
559,RNASE2,1571.4739,Moderate 4
560,SUPT6H,1771.0856,Moderate 4
561,SEC62,14053.172,Moderate 4
562,TMSB10,297773.7,Moderate 4
563,XBP1,7170.006,Moderate 4
564,PRKD3,1350.2092,Moderate 4
565,SSNA1,4592.8,Moderate 4
566,CPEB1,1.9193857,Moderate 4
567,LAMTOR2,3282.1528,Moderate 4
568,SRSF9,2989.3467,Moderate 4
569,PHAX,1923.1193,Moderate 4
570,TBL1XR1,909.6123,Moderate 4
571,P4HA2,49.38306,Moderate 4
572,PLCL1,125.90636,Moderate 4
573,RPS15,154547.72,Moderate 4
574,UQCR11,17962.158,Moderate 4
575,TUBA1A,5698.9854,Moderate 4
576,ATF7IP,4062.592,Moderate 4
577,PSMB7,2768.632,Moderate 4
578,GNAQ,1365.6724,Moderate 4
579,EIF3G,12279.541,Moderate 4
580,MRPS33,1801.5343,Moderate 4
581,SYNE3,635.8779,Moderate 4
582,RGPD5,7.046793,Moderate 4
583,SYNE2,5575.5903,Moderate 4
584,ZNF217,1568.6376,Moderate 4
585,UNC50,1562.3268,Moderate 4
586,EZR,5861.255,Moderate 4
587,TAF1,819.5002,Moderate 4
588,STARD9,126.101585,Moderate 4
589,PSMD4,4942.781,Moderate 4
590,NBR1,2369.4353,Moderate 4
591,DPEP2,2051.1064,Moderate 4
592,ISCU,15050.997,Moderate 4
593,DAZAP2,24190.725,Moderate 4
594,PRKX,2295.061,Moderate 4
595,CELF2,11380.753,Moderate 4
596,CHST2,557.6034,Moderate 4
597,BMS1,863.2403,Moderate 4
598,CNDP2,2405.2976,Moderate 4
599,AMZ2,2529.2861,Moderate 4
600,ZFP36L2,33389.527,Moderate 4
601,CTDSPL2,904.13214,Moderate 4
602,EML6,33.57612,Moderate 4
603,LSM7,9228.92,Moderate 4
604,PRMT2,9922.774,Moderate 4
605,BROX,1541.7234,Moderate 4
606,TRIP6,341.85342,Moderate 4
607,MRPL27,1338.7164,Moderate 4
608,GIMAP2,3815.8647,Moderate 4
609,ARIH2OS,409.1555,Moderate 4
610,TUBB,8665.677,Moderate 4
611,CAPG,5072.968,Moderate 4
612,PLEKHA2,3183.8987,Moderate 4
613,UGGT1,744.8549,Moderate 4
614,ADRM1,3690.3054,Moderate 4
615,CASP1,10592.827,Moderate 4
616,ITGAX,1023.4501,Moderate 4
617,MYBL1,597.84,Moderate 4
618,UGCG,1173.1991,Moderate 4
619,CALR,19232.45,Moderate 4
620,MCMBP,1156.5345,Moderate 4
621,MT-ND6,10882.945,Moderate 4
622,RPL13,225012.66,Moderate 4
623,CNBP,23809.746,Moderate 4
624,PPP2R5A,1683.2421,Moderate 4
625,PRKDC,2605.2063,Moderate 4
626,UBE2L3,7461.848,Moderate 4
627,MT-ND5,45800.562,Moderate 4
628,UBR4,2746.7856,Moderate 4
629,DHRS7,8229.14,Moderate 4
630,CDC5L,2561.6943,Moderate 4
631,EIF4EBP2,2256.7136,Moderate 4
632,RTN3,7112.9526,Moderate 4
633,IL17RA,5105.5103,Moderate 4
634,FOS,16337.023,Moderate 4
635,CDK19,798.79004,Moderate 4
636,ANP32E,2459.6555,Moderate 4
637,PRKCB,4626.959,Moderate 4
638,GLUD1,3182.864,Moderate 4
639,ZNF296,418.48837,Moderate 4
640,PRKAR1A,4400.7944,Moderate 4
641,CAT,2450.4563,Moderate 4
642,SHMT1,465.8769,Moderate 4
643,PPARA,181.65114,Moderate 4
644,CERS5,647.3254,Moderate 4
645,DNAJA2,3887.1274,Moderate 4
646,AIF1,17198.457,Moderate 4
647,HSD17B4,1491.8744,Moderate 4
648,TNFRSF1B,5543.5244,Moderate 4
649,KPNB1,5962.0303,Moderate 4
650,DGKZ,2325.8918,Moderate 4
651,RALBP1,2725.0247,Moderate 4
652,PPP1R7,3354.1467,Moderate 4
653,PCF11,3034.0203,Moderate 4
654,NFE2,9185.768,Moderate 4
655,TMEM50A,13737.829,Moderate 4
656,LIMS1,18509.79,Moderate 4
657,CYB5R3,4111.579,Moderate 4
658,SERINC1,4983.6553,Moderate 4
